State Name,State Name [State] 2023-24,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Web Site URL [State] 2023-24,Total Number of Districts with Enrollment [District] 2023-24,Total Number Operational School Districts [District] 2023-24,Total Number of School Districts [District] 2023-24,Total Number Operational Schools [Public School] 2023-24,Total Number Operational Charter Schools [Public School] 2023-24,Total Number of Public Schools [Public School] 2023-24,State Education Agency Name [State] 2023-24,Mailing Address 1 [State] 2023-24,Mailing Address 2 [State] 2023-24,Mailing Address 3 [State] 2023-24,Mailing City [State] 2023-24,Mailing State Name [State] 2023-24,Mailing ZIP [State] 2023-24,Mailing ZIP4 [State] 2023-24,Phone Number [State] 2023-24,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2023-24,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2023-24,Grades 1-8 Students [State] 2023-24,Grades 9-12 Students [State] 2023-24,Prekindergarten Students [State] 2023-24,Kindergarten Students [State] 2023-24,Male Students [State] 2023-24,Female Students [State] 2023-24,Pupil/Teacher Ratio [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Prekindergarten Teachers [State] 2023-24,Kindergarten Teachers [State] 2023-24,Elementary Teachers [State] 2023-24,Secondary Teachers [State] 2023-24,Ungraded Teachers [State] 2023-24,Full-Time Equivalent (FTE) Staff [State] 2023-24,Paraprofessionals/Instructional Aides [State] 2023-24,Instructional Coordinators [State] 2023-24,Elementary School Counselor [State] 2023-24,Secondary School Counselor [State] 2023-24,Other Guidance Counselors [State] 2023-24,Guidance Counselors [State] 2023-24,Librarians/media specialists [State] 2023-24,Media Support Staff [State] 2023-24,LEA Administrators [State] 2023-24,LEA Administrative Support Staff [State] 2023-24,School Administrators [State] 2023-24,School Administrative Support Staff [State] 2023-24,Student Support Services Staff (w/o Psychology) [State] 2023-24,School Psychologist [State] 2023-24,All Other Support Staff [State] 2023-24,Grade 1 Students [State] 2023-24,Grade 2 Students [State] 2023-24,Grade 3 Students [State] 2023-24,Grade 4 Students [State] 2023-24,Grade 5 Students [State] 2023-24,Grade 6 Students [State] 2023-24,Grade 7 Students [State] 2023-24,Grade 8 Students [State] 2023-24,Grade 9 Students [State] 2023-24,Grade 10 Students [State] 2023-24,Grade 11 Students [State] 2023-24,Grade 12 Students [State] 2023-24,Grade 13 Students [State] 2023-24,Ungraded Students [State] 2023-24,Adult Education Students [State] 2023-24
SOUTH CAROLINA,SOUTH CAROLINA,SC ,45,http://ed.sc.gov/                                            ,82,96,96,1270,95,1271,South Carolina Department of Education,1429 Senate Street,†,†,Columbia,SOUTH CAROLINA,29201,†,8038960325,793860,793860,467360,244635,27463,54402,405890,387870,13.87,57242.82,1171.47,2490.65,36419.73,17160.97,†,119771.85,15430.16,1963.66,1557.30,974.15,0.00,2531.45,1084.35,649.16,1229.65,6627.87,3823.62,6125.35,2908.32,611.24,19544.20,56827,58202,57389,57830,57984,59125,59655,60348,71651,63649,56895,52440,†,†,†
SOUTH DAKOTA,SOUTH DAKOTA,SD ,46,http://doe.sd.gov                                            ,149,165,165,712,†,721,South Dakota Department of Education,800 Governors Drive,†,†,Pierre,SOUTH DAKOTA,57501,2294,6057733134,141467,141467,84215,42297,3251,11704,72729,68738,13.71,10315.30,201.77,624.84,5559.01,2639.06,1290.62,21201.18,3231.59,154.61,0.00,0.00,425.80,425.80,59.22,67.40,809.95,376.49,474.50,611.04,1032.67,102.59,3540.02,10500,10657,10270,10481,10506,10534,10568,10699,11653,10911,10155,9578,†,†,†
TENNESSEE,TENNESSEE,TN ,47,http://www.tn.gov/education/education                        ,148,148,148,1905,115,1906,Tennessee Department of Education,9th Floor,Andrew Johnson Tower,710 James Robertson Pkwy,Nashville,TENNESSEE,37243,0375,6157415158,1004625,1004625,598357,299393,32884,73991,516152,488470,15.13,66416.76,1414.58,3952.67,41277.49,19772.02,†,133623.65,18178.60,3178.14,0.00,0.00,2339.81,2339.81,1376.33,418.90,722.05,3928.20,3989.30,4478.66,3891.90,547.00,24158.00,75293,77325,74059,74409,75310,74516,73706,73739,77098,77253,74121,70921,†,†,†
TEXAS,TEXAS,TX ,48,http://TEA.TEXAS.GOV                                         ,1210,1232,1237,9217,1045,9609,TEXAS EDUCATION AGENCY,1701 NORTH CONGRESS AVENUE,†,†,AUSTIN,TEXAS,78701,†,5124639734,5532518,5532518,3207309,1687917,275483,361809,2831800,2700718,14.69,376581.91,13569.80,21411.76,144603.04,165814.71,31182.60,780328.89,88546.16,4677.89,0.00,0.00,14130.89,14130.89,4414.10,1404.23,7994.06,30192.97,27886.23,28509.57,35387.50,2466.88,158136.50,385483,402598,400203,399445,399456,400545,405328,414251,473176,439564,407076,368101,†,0,0
UTAH,UTAH,UT ,49,http://www.schools.utah.gov                                  ,155,155,157,1096,140,1109,Utah State Board of Education,PO Box 144200,†,†,Salt Lake City,UTAH,84114,4200,8015387500,689883,689883,411363,216686,16591,45243,355822,333969,20.57,33536.73,424.43,1828.51,12168.46,15661.73,3453.60,‡,–,977.66,352.04,1065.09,0.00,1417.13,232.61,–,496.49,–,1867.55,–,–,1623.85,–,48151,50874,50980,51389,52550,51402,52809,53208,54356,55647,54722,51961,†,†,†
VERMONT,VERMONT,VT ,50,http://education.vermont.gov/                                ,119,188,188,306,†,306,Vermont Agency of Education,1 National Life Drive,Davis 5,†,Montpelier,VERMONT,05620,2501,8028281130,82455,82625,45374,23890,8010,5181,42749,39706,10.36,7962.11,241.38,327.40,2396.72,2518.46,2478.15,19269.04,3605.32,611.21,230.04,251.29,0.00,481.33,204.33,54.76,198.03,607.20,588.54,778.29,2030.90,90.74,2056.28,5395,5767,5388,5897,5644,5746,5734,5803,6117,6300,6096,5377,†,†,170
VIRGINIA,VIRGINIA,VA ,51,http://www.doe.virginia.gov                                  ,132,208,209,2129,7,2144,Virginia Department of Education,PO Box 2120,†,†,Richmond,VIRGINIA,23218,2120,8042252023,1258852,1258852,738262,400434,34745,85411,648922,609930,13.39,94034.91,2425.23,4431.73,35581.87,51596.08,†,207626.40,29137.22,9700.83,1795.21,2577.45,0.00,4372.66,1775.48,915.99,4574.52,5981.36,4880.47,6452.52,‡,1081.91,‡,89882,93833,90229,91960,92439,93028,93076,93815,105013,103738,97088,94595,†,†,†
WASHINGTON,WASHINGTON,WA ,53,http://www.k12.wa.us                                         ,324,342,342,2553,18,2554,Office of Superintendent of Public Instruction,P.O. Box 47200,†,†,Olympia,WASHINGTON,98504,7200,3607256000,1093745,1093745,640717,352056,24967,76005,564038,525298,17.49,62551.80,657.44,5425.91,29596.00,26872.45,†,123435.62,13956.68,4110.96,1145.56,1867.10,0.00,3012.66,726.50,0.00,1461.43,3009.37,3560.78,4966.62,3761.38,1120.92,21196.53,77336,81300,77749,80577,81216,80095,80852,81592,85980,87946,87016,91114,†,†,†
WEST VIRGINIA,WEST VIRGINIA,WV ,54,http://wvde.us                                               ,62,65,65,682,5,691,West Virginia Department of Education,1900 Kanawha Boulevard East,†,†,Charleston,WEST VIRGINIA,25305,†,3045582681,246883,246883,139693,75616,14954,16620,127661,119222,13.21,18688.06,597.03,891.00,8196.86,8988.92,14.25,38615.42,4803.39,383.09,311.57,488.50,0.00,800.07,177.64,–,1057.33,1281.88,1153.85,503.16,1477.54,137.87,8151.54,16989,17573,16868,15848,17991,17895,18288,18241,20792,19830,18344,16650,†,†,†
WISCONSIN,WISCONSIN,WI ,55,http://dpi.wi.gov                                            ,451,468,468,2224,236,2225,Wisconsin Dept of Public Instruction,PO Box 7841,†,†,Madison,WISCONSIN,53707,7841,8004414563,814202,814202,451223,261079,50113,51787,419620,394253,13.66,59623.02,2514.92,2802.57,24356.71,29430.52,518.30,116446.10,11087.42,1532.97,876.44,1280.81,91.02,2248.27,882.42,636.74,1294.23,2809.33,2842.22,3769.82,9256.64,1054.91,19408.11,53983,55402,55505,56073,56459,56984,57663,59154,65045,65316,65613,65105,†,†,†
WYOMING,WYOMING,WY ,56,http://edu.wyoming.gov/                                      ,50,61,62,358,7,365,Wyoming Department of Education,122 W 25th St,Suite E200,†,Cheyenne,WYOMING,82002,0050,3077777675,91036,91036,54772,28929,739,6596,46969,44067,12.22,7451.54,32.13,341.29,3565.78,3512.34,†,16938.01,2543.16,266.59,96.56,209.29,0.00,305.85,80.59,341.65,405.05,435.37,405.43,554.22,1023.77,96.05,3028.74,6392,6770,6738,6819,6962,6903,7038,7150,7634,7431,7123,6741,†,†,†
